,loss,dkl,mse,traj_mse
0,40.31053784113035,1.5894086672205263,38.72112917490943,38.13235027890496
1,22.785736390469413,2.520533014199291,20.265203377757913,19.38198594556026
2,18.70976799177863,3.179493186254397,15.53027487916991,14.294814204277003
3,17.164260742258914,3.3490175724773437,13.81524318391559,12.518081238042917
4,15.35310844326168,3.4922441625371925,11.860864234602953,10.508800576517995
5,13.11711452382961,3.716026673264883,9.401087832339282,7.976508723034316
6,10.961728695588253,3.865284324994139,7.096444376917227,5.607666641241303
7,9.914947249402122,3.9590385744984546,5.955908683086521,4.429279476171723
8,9.609328875489615,3.970824559653605,5.6385043095128955,4.100854213077825
9,9.502575630330817,3.9838031576873734,5.518772480082401,3.9830518657815253
10,9.409020608375299,4.011714064944739,5.3973065397110815,3.8662350568310146
11,9.27505971340233,4.007209075594469,5.267850628881113,3.763710929525438
12,9.356541906615687,4.01417660676001,5.342365312501904,3.8318136939764393
13,9.139655544679734,4.01862878546514,5.121026768885239,3.622279960912029
14,9.204158375304129,4.011041686241043,5.193116713983592,3.6902723505790815
15,9.160352082036773,4.033801651596093,5.126550434904054,3.6267616157412714
16,9.131958232469009,4.026127775820108,5.105830446978255,3.6015834376890092
17,9.12837950934114,4.034963758798917,5.093415731200934,3.5941375763665495
18,9.094426689207461,4.023901804003068,5.070524876277644,3.5744411651504207
19,9.021578410858297,4.032067780189693,4.989510640339248,3.4971060258177995
20,9.010316656829787,4.014476958377499,4.995839702171766,3.4958854353930016
21,9.066675206986307,4.048730848731935,5.017944344120353,3.5187706753913774
22,9.02109419723011,4.031135855896425,4.989958342077579,3.496152382001118
23,9.008741960510635,4.048907076140834,4.959834871723574,3.4708205139767174
24,8.929298975166404,4.0376583075560575,4.891640659427494,3.414283222043756
25,8.959703104730329,4.033978279964786,4.925724803192567,3.435352938037581
26,8.952877861475239,4.064936986021616,4.887940875081674,3.4013178229517944
27,8.924517823455858,4.034213149045447,4.890304662880027,3.3973219666205776
28,8.92814864011339,4.028409345287614,4.8997392654418945,3.4256357358138017
29,8.943636916542946,4.063922248280923,4.879714662310858,3.3942634505154374
30,8.90521814670652,4.033099302449576,4.872118856159275,3.3912273167448
31,8.851720895484531,4.047545290216455,4.804175593365745,3.3172790978144557
32,8.899778709768691,4.047062287278555,4.852716405008587,3.3743984357057237
33,8.85505287955964,4.040910232829601,4.814142671278598,3.344056733870841
34,8.822386424738605,4.061450379501081,4.760936039286359,3.2902050553915467
35,8.848383354508375,4.059981209253558,4.788402140791442,3.311121390501906
36,8.790222840450483,4.0542338582543245,4.735988971037723,3.259119011496605
37,8.91111566272801,4.0749007640130435,4.836214897227176,3.35779238863036
38,8.78901932578005,4.044899697980717,4.744119642677248,3.253766806002898
39,8.879915491839094,4.06618116872731,4.813734339477492,3.3474269225705244
40,8.850893654429038,4.046929792755294,4.8039638575823185,3.324664050814886
41,8.867350694355839,4.060760989018052,4.806589752947112,3.3290534949339867
42,8.787821039208756,4.051757358723609,4.736063664491389,3.2569316456358814
43,8.772806661549298,4.059513491513019,4.713293206487171,3.2379193242738102
44,8.7714241834215,4.0457479369807725,4.725676247928519,3.2702659132328122
45,8.797111167550645,4.064047613307578,4.73306353638957,3.2646632797074577
46,8.768385353028867,4.056719998673604,4.711665358074741,3.2409930006018297
47,8.784346799210713,4.089166316896817,4.6951804867772715,3.219960760958667
48,8.775306426418739,4.052753958798794,4.7225524884490255,3.2600736499018677
49,8.7659014539674,4.0670074947910635,4.698893974798146,3.2210476089751294
50,8.749323225988427,4.077414554292438,4.671908664257032,3.199117939483357
51,8.69189160773981,4.064476461008819,4.6274151511943655,3.154444914712177
52,8.753403572879975,4.079852835808455,4.673550764223715,3.2194291131916732
53,8.749254795020903,4.081508414421736,4.667746389897863,3.2074665056189957
54,8.731338547098098,4.061557972115027,4.669780539276076,3.190959246035857
55,8.714660765042357,4.085062324535828,4.629598438274842,3.152964033686241
56,8.674654685390907,4.090595145679301,4.5840595129313595,3.1134826619985883
